"run","total"
1,999
2,983
3,967
4,981
5,965
6,979
7,963
8,947
9,946
10,930
11,914
12,928
13,942
14,926
15,910
16,894
17,908
18,892
19,891
20,911
21,895
22,894
23,908
24,937
25,921
26,935
27,919
28,918
29,902
30,916
31,900
32,914
33,898
34,912
35,926
36,910
37,909
38,893
39,892
40,906
41,905
42,889
43,918
44,902
45,931
46,960
47,959
48,988
49,987
50,1001
51,1030
52,1044
53,1073
54,1102
55,1116
56,1130
57,1114
58,1128
59,1127
60,1141
61,1155
62,1184
63,1198
64,1182
65,1196
66,1195
67,1179
68,1178
69,1207
70,1191
71,1211
72,1231
73,1215
74,1229
75,1213
76,1227
77,1241
78,1240
79,1239
80,1223
81,1252
82,1251
83,1265
84,1264
85,1248
86,1247
87,1231
88,1215
89,1229
90,1243
91,1227
92,1241
93,1255
94,1269
95,1283
96,1267
97,1266
98,1280
99,1309
100,1293
101,1277
102,1276
103,1260
104,1244
105,1273
106,1272
107,1271
108,1285
109,1269
110,1253
111,1267
112,1251
113,1265
114,1279
115,1263
116,1292
117,1276
118,1260
119,1259
120,1258
121,1272
122,1256
123,1240
124,1224
125,1208
126,1222
127,1206
128,1220
129,1204
130,1233
131,1262
132,1246
133,1260
134,1274
135,1273
136,1257
137,1241
138,1240
139,1269
140,1253
141,1252
142,1236
143,1250
144,1249
145,1233
146,1217
147,1216
148,1215
149,1199
150,1213
151,1197
152,1211
153,1210
154,1194
155,1193
156,1213
157,1242
158,1241
159,1225
160,1224
161,1238
162,1252
163,1251
164,1265
165,1264
166,1248
167,1232
168,1261
169,1245
170,1259
171,1288
172,1272
173,1301
174,1300
175,1299
176,1283
177,1267
178,1281
179,1295
180,1309
181,1308
182,1322
183,1306
184,1305
185,1319
186,1333
187,1332
188,1331
189,1315
190,1299
191,1283
192,1312
193,1341
194,1355
195,1354
196,1353
197,1367
198,1381
199,1395
200,1424
201,1453
202,1467
203,1451
204,1435
205,1434
206,1448
207,1432
208,1461
209,1460
210,1480
211,1500
212,1499
213,1528
214,1527
215,1526
216,1510
217,1494
218,1478
219,1462
220,1446
221,1460
222,1444
223,1443
224,1427
225,1441
226,1425
227,1439
228,1423
229,1422
230,1451
231,1480
232,1494
233,1478
234,1462
235,1476
236,1490
237,1474
238,1473
239,1457
240,1486
241,1470
242,1454
243,1483
244,1467
245,1481
246,1480
247,1494
248,1523
249,1522
250,1521
251,1520
252,1534
253,1563
254,1547
255,1561
256,1590
257,1589
258,1588
259,1602
260,1586
261,1570
262,1554
263,1538
264,1567
265,1587
266,1571
267,1555
268,1539
269,1538
270,1558
271,1557
272,1541
273,1525
274,1524
275,1523
276,1507
277,1536
278,1550
279,1534
280,1533
281,1547
282,1531
283,1560
284,1580
285,1564
286,1548
287,1547
288,1576
289,1590
290,1574
291,1588
292,1587
293,1607
294,1606
295,1590
296,1574
297,1558
298,1542
299,1571
300,1585
301,1569
302,1583
303,1567
304,1581
305,1595
306,1624
307,1623
308,1637
309,1621
310,1620
311,1649
312,1633
313,1662
314,1661
315,1645
316,1629
317,1643
318,1642
319,1656
320,1640
321,1654
322,1638
323,1622
324,1606
325,1605
326,1619
327,1603
328,1587
329,1586
330,1585
331,1569
332,1583
333,1567
334,1551
335,1565
336,1585
337,1584
338,1598
339,1612
340,1641
341,1661
342,1675
343,1659
344,1643
345,1642
346,1656
347,1655
348,1654
349,1638
350,1637
351,1651
352,1680
353,1664
354,1648
355,1632
356,1616
357,1600
358,1614
359,1598
360,1627
361,1626
362,1625
363,1609
364,1608
365,1607
366,1621
367,1605
368,1634
369,1633
370,1632
371,1646
372,1645
373,1644
374,1628
375,1612
376,1641
377,1640
378,1639
379,1653
380,1652
381,1651
382,1650
383,1664
384,1648
385,1662
386,1676
387,1660
388,1644
389,1628
390,1642
391,1626
392,1625
393,1609
394,1623
395,1607
396,1606
397,1620
398,1619
399,1633
400,1662
401,1661
402,1675
403,1689
404,1673
405,1672
406,1656
407,1685
408,1684
409,1683
410,1667
411,1681
412,1695
413,1679
414,1663
415,1647
416,1631
417,1630
418,1614
419,1643
420,1642
421,1671
422,1670
423,1690
424,1689
425,1673
426,1657
427,1641
428,1655
429,1639
430,1659
431,1658
432,1642
433,1656
434,1655
435,1639
436,1623
437,1637
438,1621
439,1620
440,1604
441,1588
442,1602
443,1616
444,1600
445,1599
446,1583
447,1567
448,1566
449,1565
450,1564
451,1578
452,1562
453,1546
454,1530
455,1544
456,1528
457,1527
458,1526
459,1540
460,1554
461,1553
462,1552
463,1551
464,1565
465,1549
466,1533
467,1517
468,1546
469,1530
470,1544
471,1558
472,1557
473,1586
474,1585
475,1614
476,1643
477,1627
478,1626
479,1646
480,1660
481,1644
482,1628
483,1612
484,1596
485,1610
486,1594
487,1578
488,1577
489,1591
490,1575
491,1559
492,1573
493,1557
494,1586
495,1585
496,1569
497,1583
498,1597
499,1596
500,1580
501,1609
502,1608
503,1607
504,1591
505,1605
506,1619
507,1603
508,1587
509,1571
510,1591
511,1575
512,1604
513,1633
514,1632
515,1631
516,1645
517,1674
518,1658
519,1642
520,1626
521,1640
522,1624
523,1653
524,1637
525,1666
526,1680
527,1664
528,1648
529,1632
530,1646
531,1630
532,1614
533,1628
534,1612
535,1641
536,1625
537,1609
538,1593
539,1577
540,1576
541,1560
542,1559
543,1543
544,1527
545,1511
546,1495
547,1509
548,1493
549,1477
550,1461
551,1460
552,1489
553,1503
554,1532
555,1516
556,1500
557,1514
558,1498
559,1527
560,1511
561,1495
562,1509
563,1493
564,1477
565,1461
566,1475
567,1474
568,1494
569,1514
570,1528
571,1512
572,1496
573,1510
574,1509
575,1523
576,1537
577,1566
578,1550
579,1534
580,1548
581,1562
582,1546
583,1545
584,1529
585,1543
586,1572
587,1601
588,1630
589,1629
590,1613
591,1627
592,1641
593,1625
594,1654
595,1653
596,1682
597,1666
598,1680
599,1664
600,1663
601,1683
602,1697
603,1696
604,1680
605,1679
606,1663
607,1677
608,1676
609,1675
610,1659
611,1673
612,1687
613,1686
614,1700
615,1684
616,1698
617,1712
618,1696
619,1680
620,1709
621,1723
622,1707
623,1706
624,1720
625,1704
626,1688
627,1702
628,1686
629,1670
630,1669
631,1653
632,1667
633,1666
634,1695
635,1709
636,1693
637,1692
638,1712
639,1741
640,1725
641,1754
642,1738
643,1737
644,1736
645,1735
646,1719
647,1748
648,1768
649,1782
650,1796
651,1780
652,1764
653,1778
654,1762
655,1746
656,1730
657,1714
658,1698
659,1682
660,1702
661,1701
662,1730
663,1729
664,1758
665,1772
666,1771
667,1770
668,1769
669,1783
670,1782
671,1781
672,1765
673,1764
674,1763
675,1747
676,1746
677,1760
678,1744
679,1728
680,1727
681,1726
682,1710
683,1709
684,1738
685,1752
686,1751
687,1780
688,1779
689,1763
690,1747
691,1731
692,1730
693,1729
694,1758
695,1757
696,1756
697,1785
698,1799
699,1783
700,1767
701,1751
702,1765
703,1779
704,1793
705,1822
706,1836
707,1820
708,1834
709,1848
710,1832
711,1816
712,1800
713,1829
714,1828
715,1827
716,1826
717,1810
718,1824
719,1838
720,1822
721,1821
722,1805
723,1804
724,1818
725,1802
726,1831
727,1830
728,1829
729,1813
730,1797
731,1781
732,1765
733,1794
734,1808
735,1837
736,1821
737,1805
738,1789
739,1773
740,1772
741,1792
742,1776
743,1760
744,1789
745,1809
746,1823
747,1852
748,1836
749,1850
750,1834
751,1818
752,1802
753,1816
754,1815
755,1829
756,1813
757,1797
758,1781
759,1810
760,1809
761,1793
762,1807
763,1806
764,1790
765,1819
766,1803
767,1817
768,1801
769,1785
770,1799
771,1813
772,1797
773,1781
774,1780
775,1809
776,1823
777,1807
778,1791
779,1805
780,1804
781,1788
782,1802
783,1786
784,1815
785,1814
786,1843
787,1842
788,1862
789,1876
790,1875
791,1874
792,1873
793,1872
794,1886
795,1870
796,1884
797,1868
798,1897
799,1911
800,1925
801,1909
802,1893
803,1877
804,1861
805,1845
806,1874
807,1894
808,1908
809,1922
810,1906
811,1926
812,1940
813,1954
814,1953
815,1952
816,1936
817,1950
818,1964
819,1963
820,1992
821,2021
822,2035
823,2049
824,2063
825,2062
826,2046
827,2060
828,2044
829,2028
830,2057
831,2041
832,2025
833,2039
834,2053
835,2067
836,2051
837,2065
838,2064
839,2078
840,2062
841,2046
842,2075
843,2059
844,2073
845,2057
846,2071
847,2055
848,2069
849,2053
850,2037
851,2066
852,2065
853,2079
854,2063
855,2062
856,2061
857,2060
858,2044
859,2043
860,2027
861,2011
862,2025
863,2009
864,2029
865,2013
866,1997
867,2026
868,2040
869,2024
870,2008
871,2037
872,2036
873,2050
874,2034
875,2048
876,2062
877,2046
878,2060
879,2044
880,2073
881,2057
882,2056
883,2040
884,2024
885,2023
886,2037
887,2021
888,2020
889,2004
890,1988
891,2008
892,1992
893,2006
894,2005
895,2004
896,2018
897,2002
898,2001
899,1985
900,1999
901,1998
902,1997
903,1996
904,1980
905,1964
906,1963
907,1977
908,1961
909,1960
910,1989
911,2003
912,1987
913,1971
914,1970
915,1954
916,1938
917,1922
918,1951
919,1935
920,1919
921,1903
922,1902
923,1901
924,1930
925,1929
926,1949
927,1933
928,1917
929,1901
930,1915
931,1914
932,1928
933,1912
934,1896
935,1880
936,1879
937,1863
938,1862
939,1846
940,1830
941,1844
942,1843
943,1842
944,1826
945,1810
946,1794
947,1808
948,1792
949,1776
950,1790
951,1789
952,1818
953,1847
954,1831
955,1815
956,1829
957,1843
958,1827
959,1841
960,1840
961,1824
962,1838
963,1837
964,1836
965,1820
966,1819
967,1803
968,1817
969,1831
970,1815
971,1799
972,1783
973,1797
974,1811
975,1795
976,1779
977,1793
978,1777
979,1791
980,1775
981,1774
982,1803
983,1823
984,1822
985,1806
986,1790
987,1774
988,1803
989,1787
990,1771
991,1770
992,1754
993,1738
994,1737
995,1751
996,1765
997,1794
998,1823
999,1807
1000,1791
